run_id,task_id,category,language,repetition,condition,success,exit_code,correct,total_decisions,elapsed_ms,laya_inference_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,laya_called_by_codex,event_count
sales-en-001-r1-skill,sales-en-001,sales,en,1,skill,True,0,2,2,18612.01,220.6,67061,47360,463,125,True,8
security-en-001-r1-skill,security-en-001,security,en,1,skill,True,0,2,2,18247.59,185.41,66967,47360,436,83,True,9
support-de-002-r1-preflight,support-de-002,support,de,1,preflight,True,0,2,3,7072.54,349.45,15828,14080,56,0,False,4
account-de-001-r1-preflight,account-de-001,account,de,1,preflight,True,0,1,2,10214.91,213.95,15819,14080,48,0,False,4
invoice-en-001-r1-preflight,invoice-en-001,billing,en,1,preflight,True,0,1,2,5286.78,203.01,15814,0,45,0,False,4
ci-en-001-r1-baseline,ci-en-001,ci,en,1,baseline,True,0,2,2,5389.98,0.0,15920,7936,55,0,False,4
support-de-003-r1-baseline,support-de-003,support,de,1,baseline,True,0,2,2,5165.25,0.0,15903,7936,52,0,False,4
moderation-de-001-r1-baseline,moderation-de-001,moderation,de,1,baseline,True,0,1,2,6248.58,0.0,15899,15104,55,0,False,4
account-de-001-r1-baseline,account-de-001,account,de,1,baseline,True,0,2,2,6775.13,0.0,15912,14080,71,20,False,4
privacy-de-001-r1-baseline,privacy-de-001,privacy,de,1,baseline,True,0,3,3,6209.13,0.0,15954,14080,65,0,False,4
moderation-de-001-r1-skill,moderation-de-001,moderation,de,1,skill,True,0,1,2,16938.9,187.81,67020,62464,464,98,True,9
security-de-002-r1-baseline,security-de-002,security,de,1,baseline,True,0,2,2,6377.7,0.0,15911,15104,76,20,False,4
ci-de-001-r1-baseline,ci-de-001,ci,de,1,baseline,True,0,2,2,6047.36,0.0,15947,15104,81,24,False,4
account-de-001-r1-skill,account-de-001,account,de,1,skill,True,0,1,2,21091.57,236.75,67187,62464,570,176,True,9
security-en-001-r1-preflight,security-en-001,security,en,1,preflight,True,0,2,2,6108.74,208.78,15815,0,45,0,False,4
support-de-002-r1-baseline,support-de-002,support,de,1,baseline,True,0,3,3,6415.22,0.0,15954,15104,79,21,False,4
security-de-002-r1-skill,security-de-002,security,de,1,skill,True,0,1,2,19003.86,246.09,67074,47360,471,96,True,9
support-de-003-r1-skill,support-de-003,support,de,1,skill,True,0,1,2,17707.05,198.68,48804,45312,522,225,True,7
invoice-en-001-r1-baseline,invoice-en-001,billing,en,1,baseline,True,0,2,2,5721.68,0.0,15895,0,61,14,False,4
moderation-de-001-r1-preflight,moderation-de-001,moderation,de,1,preflight,True,0,0,2,6309.04,207.3,15816,15104,44,0,False,4
ci-en-001-r1-skill,ci-en-001,ci,en,1,skill,True,0,1,2,23440.45,229.15,67231,62464,633,251,True,9
ci-en-001-r1-preflight,ci-en-001,ci,en,1,preflight,True,0,0,2,7126.09,230.98,15817,7936,47,0,False,4
privacy-de-001-r1-skill,privacy-de-001,privacy,de,1,skill,True,0,3,3,20289.91,357.43,67388,61440,558,118,True,9
sales-en-001-r1-baseline,sales-en-001,sales,en,1,baseline,True,0,2,2,5952.61,0.0,15911,15104,52,0,False,4
invoice-en-001-r1-skill,invoice-en-001,billing,en,1,skill,True,0,2,2,22502.49,286.28,67055,61440,498,137,True,9
support-de-001-r1-preflight,support-de-001,support,de,1,preflight,True,0,3,3,5883.26,385.58,15835,14080,58,0,False,4
support-de-001-r1-skill,support-de-001,support,de,1,skill,True,0,3,3,20181.58,325.95,67293,61440,530,153,True,8
ci-de-001-r1-skill,ci-de-001,ci,de,1,skill,True,0,1,2,18346.3,319.48,67264,62464,506,86,True,9
support-de-003-r1-preflight,support-de-003,support,de,1,preflight,True,0,1,2,6416.02,295.12,15819,15104,48,0,False,4
privacy-de-001-r1-preflight,privacy-de-001,privacy,de,1,preflight,True,0,3,3,5873.61,330.97,15834,15104,59,0,False,4
ci-de-001-r1-preflight,ci-de-001,ci,de,1,preflight,True,0,1,2,5728.06,318.21,15819,14080,50,0,False,4
support-de-002-r1-skill,support-de-002,support,de,1,skill,True,0,2,3,21603.28,366.3,67498,61440,623,198,True,9
support-de-001-r1-baseline,support-de-001,support,de,1,baseline,True,0,3,3,5812.44,0.0,15938,14080,72,0,False,4
security-de-002-r1-preflight,security-de-002,security,de,1,preflight,True,0,1,2,8575.65,233.58,15817,15104,45,0,False,4
security-en-001-r1-baseline,security-en-001,security,en,1,baseline,True,0,2,2,7106.08,0.0,15889,14080,64,16,False,4
sales-en-001-r1-preflight,sales-en-001,sales,en,1,preflight,True,0,1,2,6213.94,257.66,15814,15104,47,0,False,4
